,Title,Rating,Number of User Reviews,Year,Duration,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,Unknown,War,Western,Cluster
44,Psycho,8.9,636.0,1960,109,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6
45,Rififi (re-release),8.4,51.0,2000,122,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
46,"4 Months, 3 Weeks and 2 Days",8.0,250.0,2008,113,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
47,Parasite,8.9,2043.0,2019,132,"['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
48,Battleship Potemkin,8.5,53.0,1926,75,"['Drama', 'History', 'Thriller', 'War']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5
49,A Streetcar Named Desire,8.2,85.0,1951,122,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
50,The Maltese Falcon,8.2,100.0,1941,100,"['Crime', 'Film-Noir', 'Mystery', 'Romance']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
51,American Graffiti,7.4,109.0,1973,110,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,12 Angry Men,9.2,710.0,1957,96,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
53,Dumbo,7.6,190.0,1941,64,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']",0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
54,Roma,7.6,894.0,2018,135,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
55,Man with a Movie Camera,7.0,11.0,1929,68,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Spirited Away,9.0,1803.0,2002,125,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Mystery']",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
57,Toy Story,8.9,1660.0,1995,81,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
58,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",7.4,71.0,2021,117,"['Documentary', 'History', 'Music']",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
59,The Shop Around the Corner,8.1,33.0,1940,99,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
60,12 Years a Slave,8.1,1721.0,2013,134,"['Biography', 'Drama', 'History']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
61,Manchester by the Sea,8.2,1081.0,2016,137,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
62,The Battle of Algiers,8.4,77.0,2004,121,"['Drama', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
63,A Hard Day's Night,8.5,93.0,1964,87,"['Comedy', 'Musical']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
65,Nashville,8.0,32.0,1975,160,"['Comedy', 'Drama', 'Music']",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
66,Red River,7.5,15.0,1948,133,"['Drama', 'Western']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
67,Rosemary's Baby,8.2,308.0,1968,137,"['Drama', 'Horror']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
68,The Philadelphia Story,7.4,41.0,1940,112,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
69,Sansho the Bailiff,7.5,15.0,1955,124,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
70,Ratatouille,8.5,1769.0,2007,111,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
71,The Grapes of Wrath,8.1,64.0,1940,129,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
72,Snow White and the Seven Dwarfs,8.0,241.0,1938,83,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7
73,Children of Paradise (1945),8.0,22.0,2012,190,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
74,Mean Streets,7.4,118.0,1973,112,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
75,The Lady Eve,7.8,18.0,1941,94,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
76,Gravity,7.7,3585.0,2013,91,"['Drama', 'Sci-Fi', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
77,Fantasia,8.1,160.0,1940,125,"['Animation', 'Family', 'Fantasy', 'Music', 'Musical']",0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7
78,Beauty and the Beast,8.4,421.0,1991,84,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7
79,Small Axe: Lovers Rock,6.0,63.0,2020,68,"['Drama', 'History']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
